certificationID,employeeID,typeID
BDGE6573255,073296781IBM,CSRA1246524
BDGE3319281,073296781IBM,CSRA7775622
BDGE3543652,073296781IBM,CSRA6449413
BDGE9791296,073296781IBM,CSRA2292265
BDGE4999395,073296781IBM,CSRA6716582
BDGE8534966,073296781IBM,CSRA2755878
BDGE5647375,073296781IBM,CSRA3356385
BDGE7344777,073296781IBM,CSRA1852583
BDGE6766839,073296781IBM,CSRA6419946
BDGE5697261,073296781IBM,CSRA5362553
BDGE9874721,073296781IBM,CSRA7335756
BDGE1591919,079916781IBM,CSRA2691673
BDGE9659814,079916781IBM,CSRA4635433
BDGE8768965,079916781IBM,CSRA8657174
BDGE2937165,070482781IBM,CSRA6346674
BDGE8944683,070482781IBM,CSRA7586137
BDGE4425463,070482781IBM,CSRA6395873
BDGE9952667,070482781IBM,CSRA9624436
BDGE2365933,070482781IBM,CSRA2378422
BDGE3997992,070482781IBM,CSRA4648247
BDGE8985624,070482781IBM,CSRA2619597
BDGE1287568,070482781IBM,CSRA5354325
BDGE2499152,070482781IBM,CSRA7589766
BDGE2334877,070482781IBM,CSRA3345318
BDGE7887829,070482781IBM,CSRA8426257
BDGE3256481,070482781IBM,CSRA6189121
BDGE8579257,070482781IBM,CSRA7767689
BDGE7445666,070482781IBM,CSRA1633216
BDGE5146362,070482781IBM,CSRA6899658
BDGE4984423,070482781IBM,CSRA4294117
BDGE3814146,070482781IBM,CSRA3585476
BDGE9493348,063135781IBM,CSRA5917628
BDGE8842834,063135781IBM,CSRA2473143
BDGE8176392,063135781IBM,CSRA4869963
BDGE9439939,063135781IBM,CSRA8117149
BDGE9589325,063135781IBM,CSRA1457976
BDGE5643342,063135781IBM,CSRA9323241
BDGE4574374,063381781IBM,CSRA9983661
BDGE1787286,063381781IBM,CSRA8527685
BDGE6246969,063381781IBM,CSRA7951916
BDGE8445116,063381781IBM,CSRA6798998
BDGE6168344,063375781IBM,CSRA4235832
BDGE5432383,063375781IBM,CSRA3323133
BDGE6779741,063375781IBM,CSRA5962316
BDGE9753512,063375781IBM,CSRA2617224
BDGE3738857,063375781IBM,CSRA8431411
BDGE1266417,063375781IBM,CSRA3434524
BDGE9127998,063375781IBM,CSRA3233938
BDGE4194264,063375781IBM,CSRA3915197
BDGE9343939,063375781IBM,CSRA3634467
BDGE1871817,063375781IBM,CSRA2982223
BDGE9579213,063375781IBM,CSRA8977135
BDGE7999719,063375781IBM,CSRA2698931
BDGE7817452,063375781IBM,CSRA4965752
BDGE9713463,063375781IBM,CSRA1935975
BDGE9957129,063375781IBM,CSRA9621427
BDGE7244822,063375781IBM,CSRA5847923
BDGE7656634,063375781IBM,CSRA4784779
BDGE6711383,063375781IBM,CSRA2172124
BDGE5489393,063375781IBM,CSRA9318186
BDGE8373263,063375781IBM,CSRA8965338
BDGE9742622,063375781IBM,CSRA5894315
BDGE7919367,063375781IBM,CSRA4182747
BDGE9541218,063375781IBM,CSRA5745235
BDGE3215979,063375781IBM,CSRA2494385
BDGE9441673,064216781IBM,CSRA2378894
BDGE3847672,064216781IBM,CSRA5155419
BDGE3324411,064216781IBM,CSRA7139359
BDGE2333348,064216781IBM,CSRA6986811
BDGE2852221,064216781IBM,CSRA5139275
BDGE2279425,065296781IBM,CSRA9466573
BDGE3722131,065296781IBM,CSRA2557563
BDGE3381237,065296781IBM,CSRA6778311
BDGE4878149,065296781IBM,CSRA4546988
BDGE6381646,065296781IBM,CSRA5568636
BDGE4299719,065296781IBM,CSRA2127838
BDGE4221827,065296781IBM,CSRA5814516
BDGE2177315,065296781IBM,CSRA9157727
BDGE6949157,065296781IBM,CSRA9977974
BDGE7325586,067334781IBM,CSRA5583246
BDGE5958437,067334781IBM,CSRA6274672
BDGE6427678,067334781IBM,CSRA6346991
BDGE6485157,067334781IBM,CSRA3186371
BDGE2652341,067334781IBM,CSRA1485764
BDGE1362592,067701781IBM,CSRA9988536
BDGE2735739,067701781IBM,CSRA2431151
BDGE3891752,067701781IBM,CSRA8665672
BDGE8389196,067981781IBM,CSRA2984416
BDGE9367584,067981781IBM,CSRA4193934
BDGE9147781,067981781IBM,CSRA4749977
BDGE6319132,067981781IBM,CSRA4468619
BDGE3958581,067981781IBM,CSRA6422796
BDGE7461394,067981781IBM,CSRA4931731
BDGE3936536,068026781IBM,CSRA3322994
BDGE6569343,068026781IBM,CSRA9344772
BDGE4273599,068026781IBM,CSRA8263186
BDGE2763669,077352781IBM,CSRA5644163
BDGE3355662,077352781IBM,CSRA3577945
BDGE4195413,077352781IBM,CSRA2256223
BDGE3287453,077352781IBM,CSRA2688267
BDGE4653348,077352781IBM,CSRA1357355
BDGE3691424,077352781IBM,CSRA5779863
BDGE9965387,077352781IBM,CSRA8534814
BDGE2286765,077352781IBM,CSRA7726149
BDGE5316674,069190781IBM,CSRA2819569
BDGE8786385,069190781IBM,CSRA5418971
BDGE2615979,069190781IBM,CSRA9685861
BDGE8825156,079941781IBM,CSRA8189764
BDGE2563488,079941781IBM,CSRA1436539
BDGE1887858,079941781IBM,CSRA5753979
BDGE4656721,079941781IBM,CSRA6296841
BDGE6863777,079941781IBM,CSRA3859362
BDGE5892242,079941781IBM,CSRA4296916
BDGE3669296,079941781IBM,CSRA2584534
BDGE1932741,079941781IBM,CSRA9757479
BDGE8818239,079941781IBM,CSRA9244636
BDGE4758369,079941781IBM,CSRA7741397
BDGE4381374,079941781IBM,CSRA7624544
BDGE8952854,071886781IBM,CSRA8397967
BDGE1455533,071886781IBM,CSRA1597628
BDGE1674152,071886781IBM,CSRA3558572
BDGE1959481,071886781IBM,CSRA8646883
BDGE5433587,071886781IBM,CSRA5436979
BDGE5288136,071886781IBM,CSRA5629898
BDGE5628311,071886781IBM,CSRA8969127
BDGE1961643,071886781IBM,CSRA5963796
BDGE1923571,071886781IBM,CSRA1776211
BDGE3446172,070293781IBM,CSRA6643557
