employeesID,name,teamID,email
073296781IBM,James Smith,FIN1631247,James_Smith@ibm.com
073296781IBM,Michael Smith,PROD2763962,Michael_Smith@ibm.com
073296781IBM,Robert Smith,DATA9132641,Robert_Smith@ibm.com
073296781IBM,David Smith,AI6817564,David_Smith@ibm.com
073296781IBM,James Johnson,FIN1631247,James_Johnson@ibm.com
073296781IBM,Michael Johnson,LOG3416938,Michael_Johnson@ibm.com
073296781IBM,William Smith,LOG3416938,William_Smith@ibm.com
073296781IBM,James Williams,DATA9132641,James_Williams@ibm.com
073296781IBM,Robert Johnson,PROD2763962,Robert_Johnson@ibm.com
073296781IBM,Mary Smith,PROD2763962,Mary_Smith@ibm.com
073296781IBM,James Brown,AI6817564,James_Brown@ibm.com
079916781IBM,John Smith,LOG3416938,John_Smith@ibm.com
079916781IBM,David Johnson,LOG3416938,David_Johnson@ibm.com
079916781IBM,Michael Brown,PROD2763962,Michael_Brown@ibm.com
070482781IBM,Maria Garcia,FIN1631247,Maria_Garcia@ibm.com
070482781IBM,Michael Williams,FIN1631247,Michael_Williams@ibm.com
070482781IBM,Michael Jones,AI6817564,Michael_Jones@ibm.com
070482781IBM,James Jones,DATA9132641,James_Jones@ibm.com
070482781IBM,Maria Rodriguez,FIN1631247,Maria_Rodriguez@ibm.com
070482781IBM,Robert Brown,LOG3416938,Robert_Brown@ibm.com
070482781IBM,Michael Miller,LOG3416938,Michael_Miller@ibm.com
070482781IBM,Robert Jones,AI6817564,Robert_Jones@ibm.com
070482781IBM,Robert Williams,FIN1631247,Robert_Williams@ibm.com
070482781IBM,William Johnson,PROD2763962,William_Johnson@ibm.com
070482781IBM,James Davis,DATA9132641,James_Davis@ibm.com
070482781IBM,Mary Johnson,DATA9132641,Mary_Johnson@ibm.com
070482781IBM,Maria Martinez,LOG3416938,Maria_Martinez@ibm.com
070482781IBM,Charles Smith,LOG3416938,Charles_Smith@ibm.com
070482781IBM,David Brown,LOG3416938,David_Brown@ibm.com
070482781IBM,Robert Miller,FIN1631247,Robert_Miller@ibm.com
